Event ID,city,latitude,longitude
713,Khorab,31.351011,63.944977
714,Kidal,18.442702,1.411332
715,Degagarha,23.894464,85.946946
716,Charsadda,34.136841,71.83818
717,Kabul,34.516895,69.147014
718,Arish,31.126646,33.800864
719,Ko Sathon,6.215369,102.060403
720,Buenavista,10.090245,122.868323
721,Benghazi,32.069287,20.151145
722,Gwaltabi,24.917984,94.136162
723,Isabela City,6.700414,121.97256
724,Tamboura,5.178396,25.199341
725,Mambasa,1.360506,29.033381
726,Buratai,10.908407,12.088402
727,Mayo district,6.717245,101.417105
728,Fallujah,33.349159,43.784197
729,Golweyn,1.658283,44.580023
730,Beira,-19.833446,34.850246
731,Taji,33.540671,44.251268
732,Baghdad,33.303567,44.371771
733,Baghdad,33.303567,44.371771
734,Baghdad,33.303567,44.371771
735,Darqad district,37.459966,69.526124
736,Khanabad,36.682309,69.114694
737,Hazrat Sultan,36.773848,68.906124
738,Khost,33.335257,69.92847
739,Jamal Kala,33.325372,68.422627
740,Jamal Kala,33.325372,68.422627
741,Farah,32.415849,62.124985
742,Mettupatti,10.048485,78.109407
743,Dungannon,54.508531,-6.763131
744,Peshawar,34.006004,71.537431
745,Bouna,13.963601,-5.362496
746,Angoor Ada,32.515773,69.289478
747,Jagna-an,12.566641,123.733356
748,Ras Lanuf,30.491794,18.54712
749,Sidra,30.627208,18.338197
750,Derna,32.765539,22.621115
751,Giza,30.022924,31.185193
752,Nusaybin district,37.076523,41.212998
